"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","UOM_CODE","SOURCE_GEOGCRS_CODE","COORD_OP_CODE","COORD_OP_METHOD_CODE","SHOW_CRS","DEPRECATED","COORD_SYS_CODE","PARAMETER_CODE_1","PARAMETER_VALUE_1","PARAMETER_UOM_1","PARAMETER_CODE_2","PARAMETER_VALUE_2","PARAMETER_UOM_2","PARAMETER_CODE_3","PARAMETER_VALUE_3","PARAMETER_UOM_3","PARAMETER_CODE_4","PARAMETER_VALUE_4","PARAMETER_UOM_4","PARAMETER_CODE_5","PARAMETER_VALUE_5","PARAMETER_UOM_5","PARAMETER_CODE_6","PARAMETER_VALUE_6","PARAMETER_UOM_6","PARAMETER_CODE_7","PARAMETER_VALUE_7","PARAMETER_UOM_7"
2000,Anguilla_1957_British_West_Indies_Grid,9001,4600,19942,9807,1,0,4400,8801,0,9102,8802,-62,9102,8805,0.9995,9201,8806,400000,9001,8807,0,9001,,,,,,
2001,Antigua_1943_British_West_Indies_Grid,9001,4601,19942,9807,1,0,4400,8801,0,9102,8802,-62,9102,8805,0.9995,9201,8806,400000,9001,8807,0,9001,,,,,,
2002,Dominica_1945_British_West_Indies_Grid,9001,4602,19942,9807,1,0,4400,8801,0,9102,8802,-62,9102,8805,0.9995,9201,8806,400000,9001,8807,0,9001,,,,,,
2003,Grenada_1953_British_West_Indies_Grid,9001,4603,19942,9807,1,0,4400,8801,0,9102,8802,-62,9102,8805,0.9995,9201,8806,400000,9001,8807,0,9001,,,,,,
2004,Montserrat_1958_British_West_Indies_Grid,9001,4604,19942,9807,1,0,4400,8801,0,9102,8802,-62,9102,8805,0.9995,9201,8806,400000,9001,8807,0,9001,,,,,,
2005,St_Kitts_1955_British_West_Indies_Grid,9001,4605,19942,9807,1,0,4400,8801,0,9102,8802,-62,9102,8805,0.9995,9201,8806,400000,9001,8807,0,9001,,,,,,
2006,St_Lucia_1955_British_West_Indies_Grid,9001,4606,19942,9807,1,0,4400,8801,0,9102,8802,-62,9102,8805,0.9995,9201,8806,400000,9001,8807,0,9001,,,,,,
2007,St_Vincent_1945_British_West_Indies_Grid,9001,4607,19942,9807,1,0,4400,8801,0,9102,8802,-62,9102,8805,0.9995,9201,8806,400000,9001,8807,0,9001,,,,,,
2008,NAD_1927_CGQ77_MTM_2_SCoPQ,9001,4609,17700,9807,1,1,4499,8801,0,9110,8802,-55.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2009,NAD_1927_CGQ77_MTM_3_SCoPQ,9001,4609,17703,9807,1,0,4499,8801,0,9110,8802,-58.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2010,NAD_1927_CGQ77_MTM_4_SCoPQ,9001,4609,17704,9807,1,0,4499,8801,0,9110,8802,-61.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2011,NAD_1927_CGQ77_MTM_5_SCoPQ,9001,4609,17705,9807,1,0,4499,8801,0,9110,8802,-64.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2012,NAD_1927_CGQ77_MTM_6_SCoPQ,9001,4609,17706,9807,1,0,4499,8801,0,9110,8802,-67.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2013,NAD_1927_CGQ77_MTM_7_SCoPQ,9001,4609,17707,9807,1,0,4499,8801,0,9110,8802,-70.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2014,NAD_1927_CGQ77_MTM_8_SCoPQ,9001,4609,17708,9807,1,0,4499,8801,0,9110,8802,-73.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2015,NAD_1927_CGQ77_MTM_9_SCoPQ,9001,4609,17709,9807,1,0,4499,8801,0,9110,8802,-76.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2016,NAD_1927_CGQ77_MTM_10_SCoPQ,9001,4609,17710,9807,1,0,4499,8801,0,9110,8802,-79.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2017,NAD_1927_DEF_1976_MTM_8,9001,4608,17708,9807,1,0,4499,8801,0,9110,8802,-73.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2018,NAD_1927_DEF_1976_MTM_9,9001,4608,17709,9807,1,0,4499,8801,0,9110,8802,-76.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2019,NAD_1927_DEF_1976_MTM_10,9001,4608,17710,9807,1,0,4499,8801,0,9110,8802,-79.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2020,NAD_1927_DEF_1976_MTM_11,9001,4608,17711,9807,1,0,4400,8801,0,9110,8802,-82.5,9110,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2021,NAD_1927_DEF_1976_MTM_12,9001,4608,17712,9807,1,0,4400,8801,0,9102,8802,-81,9102,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2022,NAD_1927_DEF_1976_MTM_13,9001,4608,17713,9807,1,0,4400,8801,0,9102,8802,-84,9102,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2023,NAD_1927_DEF_1976_MTM_14,9001,4608,17714,9807,1,0,4400,8801,0,9102,8802,-87,9102,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2024,NAD_1927_DEF_1976_MTM_15,9001,4608,17715,9807,1,0,4400,8801,0,9102,8802,-90,9102,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
2025,NAD_1927_DEF_1976_MTM_16,9001,4608,17716,9807,1,0,4400,8801,0,9102,8802,-93,9102,8805,0.9999,9201,8806,304800,9001,8807,0,9001,,,,,,
